Condition,Time,Participant,VisType,Event
[TutorialStory],NaN,NaN,NaN,NaN
[TutorialGameplay],10.04,9,v,smile
[TutorialGameplay],10.17,9,v,smile
[TutorialGameplay],10.57,9,v,smile
[TutorialGameplay],11.11,9,v,smile
[TutorialGameplay],11.42,9,v,smile
[TutorialGameplay],12.11,9,v,smile
[TutorialGameplay],12.24,9,v,smile
[TutorialGameplay],12.4,9,v,smile
[TutorialGameplay],12.52,9,v,smile
[TutorialGameplay],13.07,9,v,smile
[TutorialGameplay],13.47,9,v,smile
[TutorialGameplay],14.51,9,v,smile
[TutorialGameplay],15.2,9,v,smile
[TutorialGameplay],15.45,9,v,smile
[TutorialGameplay],15.53,9,v,smile
[TutorialEnd],16.06,9,v,smile
[BetweenTutorial],16.55,9,v,eyeraise
[BetweenTutorial],17.09,9,v,smile
[BetweenTutorial],18.43,9,v,smile
[AVLV1],19.5,9,v,smile
[AVLV1],19.56,9,v,smile
[AVLV1],20.04,9,v,smile
[AVLV1],20.56,9,v,smile
[AVLV1],21.23,9,v,smile
[AVLV1],21.31,9,v,smile
[AVLV1],21.51,9,v,smile
[AVLV1],21.59,9,v,smile
[AVLV1],25.23,9,i,movearound
[AVLV1END],22.21,9,v,smile
[AVLV1END],23.22,9,v,smile
[AVLV3],23.3,9,v,smile
[AVLV3],23.35,9,v,smile
[AVLV3],23.47,9,v,smile
[AVLV3],24.05,9,v,smile
[AVLV3],24.41,9,v,handmovement
[AVLV3],24.41,9,v,smile
[AVLV3],25.02,9,v,smile
[AVLV3],25.11,9,v,smile
[AVLV3],25.27,9,v,smile
[AVLV3],25.33,9,v,smile
[AVLV3],25.47,9,v,smile
[AVLV3],25.53,9,v,smile
[AVLV3],26.11,9,v,smile
[AVLV3],26.14,9,v,smile
[AVLV3END],26.42,9,v,smile
[AVLV3END],26.53,9,v,smile
[AVLV3END],27.18,9,v,smile
[AVLV3END],27.4,9,v,smile
[AVLV3END],28.07,9,v,smile
[AVLV6],28.23,9,v,smile
[AVLV6],28.4,9,v,smile
[AVLV6],28.58,9,v,smile
[AVLV6],29,9,v,headmove
[AVLV6],29.24,9,v,smile
[AVLV6],29.45,9,v,smile
[AVLV6],30.15,9,v,smile
[AVLV6],30.25,9,v,squintedeyes
[AVLV6],31.49,9,v,smile
[AVLV6],32.05,9,v,smile
[AVLV6],32.2,9,v,smile
[AVLV6END],32.3,9,v,smile
[AVLV6END],32.45,9,v,smile
[AVLV6END],32.59,9,v,smile
[AVLV6END],33.5,9,v,smile
[AVLV6END],34.38,9,v,smile
[AVLV6END],34.42,9,v,smile
[AOLV2],35.12,9,v,smile
[AOLV2],35.53,9,v,smile
[AOLV2],36.1,9,v,nod
[AOLV2],36.5,9,v,smile
[AOLV2],36.59,9,v,smile
[AOLV2],37.18,9,v,smile
[AOLV2],37.58,9,v,smile
[AOLV2END],38.2,9,v,smile
[AOLV2END],38.3,9,v,smile
[AOLV2END],38.43,9,v,nod
[AOLV2END],39.04,9,v,nod
[AOLV2END],39.27,9,v,nod
[AOLV2END],39.3,9,v,smile
[AOLV4],39.45,9,v,smile
[AOLV4],39.59,9,v,smile
[AOLV4],40.1,9,v,smile
[AOLV4],41.16,9,v,smile
[AOLV4],42,9,v,smile
[AOLV4],42.28,9,v,smile
[AOLV4],43.19,9,v,smile
[AOLV4END],43.3,9,v,smile
[AOLV4END],43.5,9,v,nod
[AOLV4END],44.05,9,v,smile
[AOLV5],44.24,9,v,smile
[AOLV5],45.04,9,v,smile
[AOLV5],45.22,9,v,smile
[AOLV5],45.43,9,v,smile
[AOLV5],46.21,9,v,smile
[AOLV5],46.26,9,v,smile
[AOLV5],48.22,9,v,smile
[AOLV5END],48.25,9,v,smile
[AOLV5END],48.3,9,v,smile
[AOLV5END],48.44,9,v,nod
[TutorialStory],NaN,NaN,NaN,NaN
[TutorialGameplay],10.03,8,v,smile
[TutorialGameplay],10.58,8,v,handonchin
[TutorialGameplay],11.13,8,v,smile
[TutorialGameplay],11.28,8,v,nod
[TutorialGameplay],11.38,8,v,shake
[TutorialGameplay],11.58,8,i,dash
[TutorialGameplay],12.01,8,v,smile
[TutorialGameplay],12.21,8,v,shake
[TutorialGameplay],12.24,8,v,smile
[TutorialGameplay],12.34,8,v,smile
[TutorialGameplay],12.48,8,v,eyeclose
[TutorialGameplay],13.18,8,v,handmove
[TutorialGameplay],13.18,8,v,pointing
[TutorialGameplay],13.48,8,v,smile
[TutorialGameplay],14.08,8,v,nod
[TutorialGameplay],14.32,8,v,smile
[TutorialGameplay],14.44,8,v,nod
[TutorialGameplay],14.49,8,v,smile
[TutorialGameplay],15.04,8,v,smile
[TutorialGameplay],15.27,8,v,smile
[TutorialGameplay],15.47,8,v,smile
[TutorialGameplay],15.53,8,v,smile
[TutorialEnd],NaN,NaN,NaN,NaN
[BetweenTutorial],17.14,8,v,smile
[AVLV1],19.56,8,v,smile
[AVLV1],20.29,8,v,smile
[AVLV1],20.54,8,v,smile
[AVLV1],21.04,8,v,smile
[AVLV1],21.22,8,v,smile
[AVLV1],21.3,8,v,smile
[AVLV1END],22.46,8,v,smile
[AVLV3],23.31,8,v,smile
[AVLV3],33.08,8,v,shake
[AVLV3],24.42,8,v,nod
[AVLV3],26.11,8,v,smile
[AVLV3END],26.42,8,v,smile
[AVLV3END],26.48,8,v,shake
[AVLV3END],26.58,8,v,handmove
[AVLV3END],27.43,8,v,smile
[AVLV6],29.05,8,v,smile
[AVLV6],29.16,8,v,headback
[AVLV6],29.4,8,v,smile
[AVLV6],30.28,8,v,smile
[AVLV6],32.28,8,v,smile
[AVLV6END],32.38,8,v,smile
[AVLV6END],33.08,8,v,nod
[AOLV2],34.53,8,v,smile
[AOLV2],35.53,8,v,smile
[AOLV2],37.01,8,v,smile
[AOLV2],37.38,8,v,smile
[AOLV2],37,8,v,smile
[AOLV2END],38.17,8,v,smile
[AOLV2END],39.29,8,v,smile
[AOLV4],39.41,8,v,smile
[AOLV4],39.58,8,v,smile
[AOLV4],40.07,8,v,smile
[AOLV4],40.31,8,v,smile
[AOLV4],42.1,8,v,smile
[AOLV4],42.27,8,v,smile
[AOLV4END],NaN,NaN,NaN,NaN
[AOLV5],44.21,8,v,smile
[AOLV5],44.52,8,v,smile
[AOLV5],45.14,8,v,smile
[AOLV5],45.38,8,v,smile
[AOLV5],45.39,8,v,nod
[AOLV5],46.23,8,v,smile
[AOLV5],46.41,8,v,smile
[AOLV5],47.22,8,v,smile
[AOLV5],47.31,8,v,smile
[AOLV5],48.13,8,v,smile
[AOLV5END],48.25,8,v,smile
